,momentum_120_20,momentum_60_10,vol_fade_60d,gk_vol_level_5d,volume_shock_neg,oi_trend_5d,ret_skew_60d,trend_efficiency_20d,overnight_intraday_spread,range_breakout_20d,pv_corr_20d,down_up_vol_ratio_20d,ret_autocorr_lag2_60d,amihud_illiq_20d,momentum_252_21,ret_kurt_60d,oi_accel_3d,overnight_gap_mean_5d,volume_rel_to_60max_20d,hl_range_pct_skew_20d,carry_ma_dev_252,tsm_reversal_5d,vol_scaled_mom_60_10,oi_price_agree_20d,williams_pct_r_5d,body_streak_10d,atr_norm_20d
P0,0.8885831761111189,0.0498729066102582,-0.3213293771319702,-0.2572226898422908,0.20450581095471704,0.19082398427407013,-0.37713445279435376,0.18438272368688252,0.4525943247875631,0.6043925367488482,-0.25466309996989483,-1.501533448838035,-0.10121748080351313,0.042046277225751084,0.29766778528950516,-0.4725543118765932,0.0019372475019324336,0.13282937197311345,-0.12823239413468548,0.219670038372226,-0.14468920732226773,0.403373949211235,0.1172754992569693,0.1020753464694462,0.4705778125221337,-0.6889670760821207,0.25214060815467026
PB0,-0.15807655417843805,-0.20267430497332248,0.3534841232646732,-0.02763165904575298,-0.32027385261154756,0.21329409195707472,-0.2087128641993874,-0.031689756598704905,0.5711204553628964,-0.5575237499365933,0.2846555184475855,0.5472539401522473,0.13584001123071524,0.17878155403515095,-0.20346887469506475,0.3385805840358471,0.6140174523343609,0.08216712652924012,0.41711330944715647,0.21121413120441737,0.5990184449538573,-0.7437132557737477,-0.19656123240823195,-0.1415558765051275,-0.6653371937210694,0.8920161827199253,-0.21636392224820805
PP0,0.08301502063631086,0.09739840164579129,-0.37054773315326633,-0.1329821944307988,0.6002875609847023,0.32805545119400814,-0.007907485286262363,0.4357781993622859,-0.03459893884156855,0.01870730366555652,0.26092039787992566,1.1110200972914834,0.5071589255642022,0.043642452237380176,-0.23698615702428955,-0.49684227364464195,-0.04791751508874775,0.7456976855851463,-0.5614625427960314,0.5111617188899521,-0.16525429366413574,0.4044764282490442,-0.07091663243222257,0.17666355482400325,-0.03814705332247879,-0.2021636816469175,-0.049820478347539984
RB0,0.07215751086889996,-0.24574606443401348,0.030631396379776018,0.5078816953699856,0.2098360433409975,0.6508466514290783,-0.14081654306352057,-0.3602578070921294,0.5797804641186346,0.35940541671909976,-0.1067999887716207,-0.7777068489790561,-0.08356696274064178,0.18932405959701004,0.06183227347285055,-0.2869089469337122,-0.047246982963464836,-0.3925758108470923,-0.1960049463050549,-0.14787632650834828,0.03328575367960831,0.04220482001360731,-0.2789735841832254,-0.15806950650489648,0.05790635068390727,-0.25557455684638614,0.32457493279151267
RM0,-0.2573019948977473,-0.17746595469236226,-0.28191782596028214,0.10468671385620548,-0.06646464796688985,0.1535163658282133,0.30309468222594765,-0.04396627433958956,0.45193391389623594,-0.18376335514674738,0.5716987046639013,0.7474144488081548,-0.12814708253759985,0.23947779139596811,-0.03416169976230411,-0.24476752911042934,0.17829051987235942,0.13152317397700936,-0.10371345520270854,0.21342500352526503,0.11211584739905936,-0.12378217228460628,-0.19743360699411808,-0.15832275579717,-0.1958866251806764,-0.22005009738180414,0.2135942447915369
RU0,-0.4612788435602483,-0.18791395220106022,0.4068152658455467,0.2718137350414561,-0.5709591902225606,-1.1446465836075124,-0.009759930535773512,-0.2087079686128179,0.5555512942939995,0.1616385459080468,0.7391608607037587,-0.6770875979713887,-0.33470764156286315,-0.11082293054719627,-0.5610813394049601,-0.17057906462255296,-0.6251480671482124,0.1155632519388394,-0.37772799409887925,-0.1479694554492344,0.17765577043032713,-0.2982161200066218,-0.13777235082193742,-0.22652223463400015,-0.2667739821890622,0.3509275647132389,0.46420764839302403
SA0,0.17951678033887106,-0.1608279656978789,0.2910397439791995,0.28286090509973694,0.1209193467421212,-0.12735942886488438,0.37259033632253535,0.2702731316005481,0.3753364539803815,0.1937296883204974,0.4644416129807695,-4.017916406563291,-0.22906792587420055,0.11997865146292445,-0.06001997414030706,0.025505181847750445,-0.04576463865677151,0.07177431229778654,0.008562908018190528,0.15719380680921136,-0.19473117866114661,0.15635962184316052,-0.0893641901754864,0.3117549013250684,0.005107552321995193,-0.36443395724304994,0.231889227090148
SC0,0.03126841113705163,-0.4013561748803718,-0.07283978240356162,-0.14120679141733755,0.02080451463728234,0.13959670655699485,0.1496210519198467,0.07914330587083294,0.6609458324879576,0.28691816600967035,0.1172610946926684,-0.21453611264689096,0.4420308306459499,0.5776045639191172,-0.21978459655567348,0.03683302425496783,-0.032611969337131015,0.5389118757456036,-0.4026002885600474,-0.14515792536711422,-0.22689249227322444,0.16489023813822984,-0.44194849507422024,0.04030050313154878,0.07343494134322817,-0.20603561618031085,-0.033198990119791584
SF0,0.3126628661000167,0.2552021513395404,0.5711893970344881,0.034622918751143934,0.07082964797365326,-0.3339097215004224,0.35923873426869807,0.06067860720106654,0.21643286511472293,0.43560691315064315,0.6579293972988464,-0.04039852767063237,0.3546884808728824,0.3875131774469964,-0.03678727012029219,-0.12734937481249253,0.22668576849812708,0.8088026843788771,0.5291845012721499,0.2335705134509126,-0.09446825691693767,0.36800442307645187,0.05052156443326542,-0.578439501856028,0.23024425251141825,-0.37428055286156847,0.3499391183279877
SM0,0.41130444992231896,-0.10782854229110717,-0.0282689685189431,-0.46863169931205617,0.4661569734473714,-0.01550141682770823,0.8375454117917367,0.7434121683753159,0.1653190436989535,0.2698756208233687,-0.39236395435296767,0.08090630803094677,-0.03967737248674831,-0.07032853755155952,0.19732367360142478,-0.3211665515475398,-0.4208354820067071,0.701022069280514,0.831585409955958,-0.0272197303234325,-0.42777587451093435,0.3124534257908235,-0.1409744060842535,0.5494371799076206,-0.14599179283989494,-0.42529222429648794,-0.11969200550315591
SN0,-0.8195161822487451,-0.5785853832568086,-0.018501906777256875,0.41756518618416266,-1.0179686852593126,-0.4008642104704811,-0.5117395641579194,-0.31230671761380596,0.9464819831430124,-0.14202029771746602,-0.007778039297606659,-2.4730914331759246,-0.49969481430525275,0.19157042733292476,-0.8954730426315172,-0.09728727026506943,0.4737614567001891,0.0535848558804213,0.29593565363538193,-0.07134978029195743,-0.21453643318313684,-0.06558708127214483,-0.5660469691347909,0.2794020396608176,-0.2154143197672326,0.5327089513525374,0.0513440496819285
SR0,0.08458114795204552,-0.0022258102473936337,0.044526966307824295,-0.09361881806270002,0.10688893137689966,-0.06652819823753064,0.004691889953539982,-0.6489636853737741,0.8467271830245611,-0.4491796633534377,0.21262269981565612,-0.42994424736455755,-0.1223222042989837,0.4447006586644164,-0.16733494874625646,-0.2163647109756989,-0.686574196033914,0.5082040369535272,-0.044456740837239925,-0.32997072562390645,0.42069049878280157,-0.35933942051608575,0.057221565745507005,-0.42180832731048584,-0.050175984296922584,0.22038726015940452,0.07777593730275496
SS0,0.038038100883513205,-0.10793911506441993,-0.011061779079955657,0.09701079686555548,-0.8483875206060834,-0.30407250525368007,-0.12893248629145582,-0.34167447667885364,0.035572734004563775,0.028922802540237574,0.21818340080004014,0.8528982203630004,-0.13952148445825263,0.05776767615223938,-0.04945669269589066,-0.0666970780875949,0.3995129943719179,0.045360730039919465,0.10696332057344515,0.2946121907289232,0.13270125700675162,-0.41434724107029236,-0.11652925614932466,-0.18134296144359038,-0.23646880231650796,-0.15408699211602853,-0.23365579986546903
TA0,0.16039446755180053,0.037922052466527016,-0.6191605128706299,-0.31281680004731605,0.1908656537166945,0.3249709211190534,-0.35388968169693436,-0.1717834244712543,0.41275692907587425,0.2152792678754793,-0.24052255803125688,0.2912342970150534,-0.14578992289987933,0.3576663771849119,-0.19307555351325748,0.07552372672782681,0.07092538638896423,0.33187796471326836,0.08549885139102377,0.5082556457835962,-0.2950123252592967,0.3748383868441281,0.18295083372660392,0.3228663060172888,-0.029725101832726968,0.04874573161901682,0.07230951100150136
UR0,-0.0921330553551244,0.2817922995756774,0.05352785048427383,0.35925995270420447,0.5416577500416127,0.4268024676213051,0.29286447618631906,-0.48464900533869876,0.6640132480013493,0.16370728043067667,0.3317637967418335,,-0.013648452026421842,0.6273915453618325,-0.17376137607019412,-0.03587550438750051,0.19713840694778925,0.08171727654209458,0.5266103007234871,0.23903761744407429,0.06807337989658467,-0.17756883109809246,0.3101302742892902,-0.1814521870756963,-0.07036076528165838,-0.011862811730315455,0.25689409074547087
V0,0.6472595456041673,0.1447742815971977,0.44556427024333545,0.1993406313351776,-0.09228787261323929,-0.2749716381758234,0.7279399161358898,0.1923577974319726,0.5158495383986106,0.34163924095341724,-0.3315560157229285,2.7571118665381578,0.43457069624011935,0.8643796781356482,-0.26447045756429677,-0.30558143242656544,-0.16948952985624202,0.5464363275580186,0.056089746109478214,0.17822573880405865,-0.22137020942832666,0.4253418114295126,0.020992120458855214,0.7215862190102708,0.2192096179807419,-0.4050020210418301,0.2322392001641667
Y0,0.611946822010805,0.3307138899600638,-0.4180666842050021,-0.15246075487141988,0.2437852404924208,0.7220849097878759,-0.44781325857250903,0.24259181048364278,0.3954602142866554,0.24480499763947813,0.09045251761716004,1.030134831375929,0.0768573152947214,0.12409124104279107,0.03214354248342984,-0.29554536470412607,-0.6201642336173648,-0.14046544583939866,-0.15486014379487284,-0.12779638256558018,-0.028899059943192976,-0.16180304758945235,0.4177479254074436,-0.01377004822915311,0.07658155343595115,-0.39566361660305494,0.18881575951346077
ZN0,0.12052617055504833,0.1769889966603087,0.02565913978591026,0.031246561574966896,-0.19349890411651555,0.7134172934255555,-0.2118691486232702,-0.22575669444592789,0.8497647265552409,-0.2685942028491641,-0.4058846164018661,-1.0048396264218968,-0.07988395609744199,0.18319627587070167,-0.3412837262008613,0.12081780403023826,-0.20409971215131387,0.20131553038077019,0.3969981448074762,-0.28214400664805556,0.226726813821368,-0.3042430640721382,0.1625195363528592,-0.19957594606954904,-0.6092024855690382,0.6528405411340057,-0.18479331948122069
